Season	SecCode	Kc_PS	Kc_sum	Min_sum	Min_med	Min_avg	Kc_med	Kc_avg	Tr_cnt	PS_ZPS	TYPZONY	KOD_ZSJ
P00-202001	P6-0346	6	90	135	30	45	20	30	3	14	1	129381
P00-202001	P6-0072	4	120	180	90	90	60	60	2	29	1	129275
P00-202001	P6-1720	3	20	30	30	30	20	20	1	8	1	129291
P00-202001	P6-1570	3	100	150	60	50	40	33	3	35	1	129275
P00-202001	P6-0342	11	170	255	60	51	40	34	5	15	1	129381
P00-202001	P6-1939	40	40	60	15	15	10	10	4	1	1	129305
P00-202001	P6-2103	22	195	195	30	65	30	65	3	9	1	130061
P00-202001	P6-1602	8	240	360	38	60	25	40	6	29	1	129321
P00-202001	P6-1878	13	130	1618	654	539	40	43	3	10	1	129798
P00-202001	P6-0527	7	195	195	45	65	45	65	3	27	1	129305
P00-202001	P6-1648	7	60	170	170	170	60	60	1	9	1	129593
P00-202001	P6-1591	41	980	2158	60	90	40	41	24	24	1	129305
P00-202001	P6-0664	10	240	360	45	40	30	27	9	24	1	129593
P00-202001	P6-1928	15	240	360	90	72	60	48	5	16	1	129291
P00-202001	P6-1473	18	165	165	30	55	30	55	3	9	1	130079
P00-202001	P6-0468	75	300	450	75	90	50	60	5	4	1	129283
P00-202001	P6-1780	35	70	105	45	35	30	23	3	2	1	129305
P00-202001	P6-0482	5	100	150	75	75	50	50	2	22	1	129283
P00-202001	P6-1710	4	40	60	60	60	40	40	1	10	1	129291
P00-202001	P6-1336	27	375	376	53	47	53	47	8	14	1	130109
P00-202001	P6-0008		50	75	38	38	25	25	2			
P00-202001	P6-0458	16	260	390	38	39	25	26	10	16	1	129283
P00-202001	P6-0044	18	200	318	120	106	80	67	3	11	1	129275
P00-202001	P6-0613	23	160	240	60	80	40	53	3	7	1	129585
P00-202001	P6-1196	38	420	420	60	84	60	84	5	11	1	129542
P00-202001	P6-0379	38	340	510	60	102	40	68	5	9	1	129372
P00-202001	P6-1932	12	360	540	90	90	60	60	6	29	1	129291
P00-202001	P6-1565	6	150	225	38	56	25	38	4	27	1	129275
P00-202001	P6-1786	3	80	2430	38	608	15	20	4	26	1	129305
P00-202001	P6-0611	52	260	390	60	78	40	52	5	5	1	129585
P00-202001	P6-0522	9	281	432	76	86	45	56	5	32	1	129305
P00-202001	P6-1552	11	110	165	45	55	30	37	3	10	1	306291
P00-202001	P6-1809	16	220	330	60	66	40	44	5	14	1	129330
P00-202001	P6-0187	67	200	300	75	75	50	50	4	3	1	129411
P00-202001	P6-1636	2	100	150	75	75	50	50	2	62	1	129593
P00-202001	P6-1707	5	120	180	45	60	30	40	3	25	1	129291
P00-202001	P6-1362	15	60	60	60	60	60	60	1	4	1	130109
P00-202001	P6-0007		220	330	30	41	20	28	8			
P00-202001	P6-1454	12	420	475	45	53	45	47	9	35	1	129500
P00-202001	P6-0481	9	130	195	45	49	30	33	4	15	1	129283
P00-202001	P6-0413	10	20	30	15	15	10	10	2	2	1	129372
P00-202001	P6-0179	8	80	120	60	60	40	40	2	10	1	129411
P00-202001	P6-1590	3	60	90	90	90	60	60	1	20	1	129321
P00-202001	P6-1661	40	160	240	60	80	40	53	3	4	1	129593
P00-202001	P6-1452	10	240	250	60	63	60	60	4	24	1	129500
P00-202001	P6-0172	54	162	1011	120	202	20	32	5	3	2	129411
P00-202001	P6-1380	26	285	285	75	57	75	57	5	11	1	130109
P00-202001	P6-1839	10	50	75	75	75	50	50	1	5	1	129305
P00-202001	P6-0191	2	40	60	60	60	40	40	1	20	1	129411
P00-202001	P6-0219	14	100	150	75	75	50	50	2	7	1	129356
P00-202001	P6-0275	1	10	15	15	15	10	10	1	7	1	129259
P00-202001	P6-0161	33	200	300	120	100	80	67	3	6	1	129411
P00-202001	P6-1204	5	60	60	60	60	60	60	1	11	1	129291
P00-202001	P6-0661	8	370	555	60	69	40	46	8	44	1	129593
P00-202001	P6-1609	5	60	90	90	90	60	60	1	12	1	129305
P00-202001	P6-1709	3	60	90	45	45	30	30	2	21	1	129291
P00-202001	P6-1791	3	80	120	120	120	80	80	1	25	1	129305
P00-202001	P6-0525	7	375	418	45	60	45	54	7	52	1	129305
P00-202001	P6-1604	1	20	30	30	30	20	20	1	15	1	129305
P00-202001	P6-0268	83	330	495	53	83	35	55	6	4	1	129259
P00-202001	P6-0178	6	60	90	90	90	60	60	1	10	1	129411
P00-202001	P6-1611	4	100	150	60	50	40	33	3	24	1	129593
P00-202001	P6-1625	13	120	180	60	60	40	40	3	9	1	129593
P00-202001	P6-2104	1	15	15	15	15	15	15	1	13	1	130061
P00-202001	P6-1477	5	150	150	30	30	30	30	5	28	1	130079
P00-202001	P6-0067	13	190	2763	120	553	10	38	5	15	1	129275
P00-202001	P6-1403	5	30	1987	1987	1987	30	30	1	6	1	130087
P00-202001	P6-0101	14	100	280	140	140	50	50	2	7	1	129275
P00-202001	P6-0472	4	40	60	60	60	40	40	1	9	1	129283
P00-202001	P6-1935	37	110	165	83	83	55	55	2	3	1	129291
P00-202001	P6-0134	37	110	165	38	41	25	28	4	3	1	129267
P00-202001	P6-0500	4	120	180	180	180	120	120	1	27	1	129283
P00-202001	P6-0027	34	170	255	60	51	40	34	5	5	1	129275
P00-202001	P6-1807	14	100	150	75	75	50	50	2	7	1	129305
P00-202001	P6-0055	15	120	180	180	180	120	120	1	8	1	129275
P00-202001	P6-0034	8	250	375	90	94	60	63	4	31	1	129275
P00-202001	P6-0526	2	60	60	60	60	60	60	1	28	1	129305
P00-202001	P6-1719	10	100	150	75	75	50	50	2	10	1	129291
P00-202001	P6-1937	13	40	60	60	60	40	40	1	3	1	129291
P00-202001	P6-0163	3	50	75	75	75	50	50	1	15	1	129411
P00-202001	P6-1631	10	60	90	90	90	60	60	1	6	1	129593
P00-202001	P6-1633	5	40	60	30	30	20	20	2	8	1	129593
P00-202001	P6-1646	8	60	90	45	45	30	30	2	8	1	129593
P00-202001	P6-0165	1	20	30	30	30	20	20	1	19	1	129411
P00-202001	P6-1501	16	435	1045	45	116	45	48	9	27	1	130079
P00-202001	P6-0195	3	40	60	30	30	20	20	2	13	1	129411
P00-202001	P6-1875	3	30	45	45	45	30	30	1	9	1	129798
P00-202001	P6-0180	1	20	30	30	30	20	20	1	18	1	129411
P00-202001	P6-1658	5	100	150	75	75	50	50	2	22	1	129593
P00-202001	P6-1905	7	40	60	60	60	40	40	1	6	1	129763
P00-202001	P6-1568	1	40	60	60	60	40	40	1	27	1	129275
P00-202001	P6-1567	12	70	105	53	53	35	35	2	6	1	129275
P00-202001	P6-1628	12	110	165	45	41	30	28	4	9	1	129593
P00-202001	P6-0084	5	60	90	90	90	60	60	1	11	1	129275
P00-202001	P6-0393	18	70	105	53	53	35	35	2	4	1	129381
P00-202001	P6-1642	4	20	30	30	30	20	20	1	5	1	129593
P00-202001	P6-1629	7	120	180	180	180	120	120	1	18	1	129593
P00-202001	P6-0599	4	70	105	53	53	35	35	2	17	1	129585
P00-202001	P6-1613	1	30	45	23	23	15	15	2	24	1	129593
P00-202001	P6-1873	3	90	135	60	45	40	30	3	27	1	129798
P00-202001	P6-1547	7	40	60	60	60	40	40	1	6	1	129372
P00-202001	P6-0080	8	120	180	180	180	120	120	1	15	1	129275
P00-202001	P6-0202	1	10	60	60	60	10	10	1	17	2	129437
P00-202001	P6-1879	3	20	30	30	30	20	20	1	8	1	129798
P00-202001	P6-1717	3	20	1940	1940	1940	20	20	1	7	2	129291
P00-202001	P6-1840	7	100	1003	1003	1003	100	100	1	14	1	129305
P00-202001	P6-0376	2	110	165	45	41	30	28	4	47	1	129381
P00-202001	P6-1701	27	80	120	60	60	40	40	2	3	1	129356
P00-202001	P6-0358	8	160	240	60	80	40	53	3	19	1	129381
P00-202001	P6-1445	15	90	90	45	45	45	45	2	6	1	129500
P00-202001	P6-0083	1	10	15	15	15	10	10	1	9	1	129275
P00-202001	P6-0105	6	80	120	120	120	80	80	1	14	1	129275
P00-202001	P6-1208	2	30	30	30	30	30	30	1	20	1	129291
P00-202001	P6-1281	3	105	105	30	35	30	35	3	31	1	129275
P00-202001	P6-1521	98	390	390	90	98	90	98	4	4	1	129500
P00-202001	P6-1794	20	100	150	75	75	50	50	2	5	1	129305
P00-202001	P6-1471	8	60	60	30	30	30	30	2	8	1	130079
P00-202001	P6-0471	27	80	120	60	60	40	40	2	3	1	129283
P00-202001	P6-0079	6	80	120	60	60	40	40	2	13	1	129275
P00-202001	P6-1824	1	10	15	15	15	10	10	1	7	1	129330
P00-202001	P6-0106	24	220	330	60	83	40	55	4	9	1	129275
P00-202001	P6-0173	5	60	90	90	90	60	60	1	12	1	129411
P00-202001	P6-0803	50	250	375	53	63	35	42	6	5	1	129411
P00-202001	P6-0377	7	120	180	45	60	30	40	3	18	1	129381
P00-202001	P6-1936	4	40	60	60	60	40	40	1	9	1	129291
P00-202001	P6-1914	8	100	150	75	75	50	50	2	12	1	129801
P00-202001	P6-1545	8	50	75	75	75	50	50	1	6	1	129372
P00-202001	P6-0584	8	70	105	105	105	70	70	1	9	1	129585
P00-202001	P6-0316	3	50	75	75	75	50	50	1	19	1	129364
P00-202001	P6-1346	15	60	60	60	60	60	60	1	4	1	130109
P00-202001	P6-1704	2	80	120	120	120	80	80	1	36	1	129291
P00-202001	P6-0348	17	120	180	90	90	60	60	2	7	1	129381
P00-202001	P7-0042	3625	192106	290950	90	112	60	74	2593	53	2	130320
P00-202001	P7-0002	2523	65599	99134	75	99	50	66	1000	26	2	130168
P00-202001	P7-0092	1275	31866	48078	75	93	50	61	519	25	2	130125
P00-202001	P7-0071	1687	47246	73709	84	129	55	82	573	28	2	130125
P00-202001	P7-0173	154	2159	13473	176	259	29	42	52	14	2	130303
P00-202001	P7-0170	543	22282	108411	85	186	21	38	582	41	2	130265
P00-202001	P7-0036	116	19635	19715	45	57	45	56	348	170	1	130311
P00-202001	P7-0127	2246	145990	1279176	64	365	40	42	3506	65	3	130281
P00-202001	P7-0158	2317	48651	728430	61	809	40	54	900	21	2	130265
P00-202001	P7-0140	1801	273738	1029218	120	214	40	57	4804	152	2	130281
P00-202001	P7-0063	2623	141666	1080345	75	336	40	44	3215	54	3	130133
P00-202001	P7-0067	3482	100970	594413	60	218	35	37	2730	29	3	130125
P00-202001	P7-0050	2515	60360	455201	75	339	40	45	1342	24	3	130311
P00-202001	P7-0103	1958	35237	80934	75	167	45	73	486	18	2	130249
P00-202001	P7-0161	1113	56741	85946	60	79	40	52	1089	51	2	130265
P00-202001	P7-0167	1814	23583	227984	75	423	40	44	539	13	3	130281
P00-202001	P7-0052	1948	105169	904037	60	345	40	40	2618	54	3	130311
P00-202001	P7-0175	339	45040	135279	90	96	30	32	1416	133	2	130176
P00-202001	P7-0115	1543	185199	704789	120	216	40	57	3259	120	2	130281
P00-202001	P7-0113	294	35812	163164	90	170	30	37	960	122	2	130281
P00-202001	P7-0125	1120	17926	228870	75	504	40	39	454	16	3	130257
P00-202001	P7-0020	1824	63832	97438	75	113	50	74	861	35	2	130141
P00-202001	P7-0138	192	16530	16556	60	77	60	77	216	86	1	130281
P00-202001	P7-0169	66	13928	13951	60	64	60	64	218	211	1	130265
P00-202001	P7-0179	2350	143321	220268	75	91	47	59	2427	61	2	130265
P00-202001	P7-0040	5160	123838	188017	83	101	55	67	1861	24	2	130311
P00-202001	P7-0168	1942	33008	222435	68	286	40	42	778	17	3	130290
P00-202001	P7-0088	2927	46839	377204	60	335	40	42	1127	16	3	130125
P00-202001	P7-0030	1162	22076	33262	75	96	50	64	347	19	2	130133
P00-202001	P7-0145	1038	63317	95862	75	103	50	68	933	61	2	130273
P00-202001	P7-0055	1278	37076	56563	67	88	45	57	645	29	2	130311
P00-202001	P7-0120	725	9422	29207	90	122	30	39	239	13	2	130281
P00-202001	P7-0051	2506	40090	333961	67	358	40	43	932	16	3	130311
P00-202001	P7-0017	2079	20785	31560	75	88	44	58	357	10	2	130141
P00-202001	P7-9009		195	195	60	65	60	65	3	0	1	130141
P00-202001	P7-0076	1799	44974	68223	75	103	50	68	663	25	2	130125
P00-202001	P7-0143	158	29351	29543	60	64	60	64	460	186	1	130273
P00-202001	P7-0097	1545	24726	261015	75	458	40	43	570	16	3	130168
P00-202001	P7-0060	58	4545	4545	60	70	60	70	65	78	1	130133
P00-202001	P7-0110	946	17026	141594	75	364	40	44	389	18	3	130281
P00-202001	P7-0106	342	13001	175523	56	432	24	32	406	38	3	130249
P00-202001	P7-0099	747	38120	80401	76	128	50	61	627	51	2	130249
P00-202001	P7-0074	66	8295	8297	45	58	45	58	143	125	1	130125
P00-202001	P7-0029	1221	21981	33376	75	91	50	60	365	18	2	130133
P00-202001	P7-0003	186	19947	20188	60	68	60	68	295	107	1	130141
P00-202001	P7-0016	2244	6733	58868	60	350	40	40	168	3	3	130311
P00-202001	P7-0022	55	4125	4205	60	63	60	62	67	75	1	130141
P00-202001	P7-0144	618	45135	68200	66	83	42	55	826	73	2	130290
