CODE	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
22369007	17	0	0	0	0	0	0	6	23
22365371	0	0	0	0	0	0	0	1	1
21725322	2	0	4	0	0	0	0	0	6
22301828	5	0	1	0	0	0	0	1	7
25930371	9	0	1	0	0	0	0	1	11
21714100	5	0	0	0	0	0	0	2	7
22074279	3	0	7	0	0	0	0	0	10
28063007	1	0	0	0	0	0	0	0	1
22088270	9	2	6	0	0	0	0	4	21
21760454	5	0	0	0	0	0	0	2	7
22147756	12	0	0	0	0	0	0	4	16
22147608	8	0	2	0	0	0	0	5	15
75738147	1	1	0	0	0	1	0	0	3
21728127	7	0	1	0	0	0	0	3	11
22181938	4	0	0	0	0	0	0	0	4
21865884	5	0	1	0	0	0	0	0	6
21737151	3	0	2	0	0	0	0	0	5
22099964	7	0	0	0	0	0	0	1	8
22707735	4	0	0	0	0	0	0	0	4
22022716	12	0	0	0	0	0	0	1	13
22711911	6	0	0	0	0	0	0	0	6
21739391	3	0	2	0	0	0	0	1	6
22041931	10	0	0	0	0	0	0	3	13
21966311	5	0	0	0	0	0	0	1	6
21912475	1	0	0	0	0	0	0	1	2
22369104	10	0	0	0	0	0	0	6	16
22368418	13	0	0	0	0	0	0	7	20
22242422	38	1	0	2	0	1	0	13	55
21874719	5	0	0	0	0	0	0	5	10
21913323	8	0	1	0	0	0	0	3	12
21906653	10	0	0	0	0	0	0	3	13
22349570	9	0	2	0	0	0	0	2	13
22498575	12	0	2	0	0	0	0	3	17
22368965	14	0	0	0	0	0	0	5	19
