Season	TARIFPA	CODE	KOD_ZSJ	STREETNAME	Price	Trans	dff	Mths	age	Tr_MONTH	Tr_DAY
P00-201912	25	2000040	127183	WENZIGOVA	210546	4010	1102657	3	27	1337	45
P00-201912	25	2000039	127183	KE KARLOVU	126783	2608	475164	3	27	870	29
P00-201912	25	2000038	127183	BOéENY NÃMCOV…	129831	2199	447805	3	27	733	25
P00-201912	37	2000037	305774	BOéENY NÃMCOV…	194025	2542	1343733	3	27	848	29
P00-201912	25	2000036	127183	HORSK¡	11323	220	86639	3	27	74	3
P00-201912	8	2000035	127183	KOR»¡KOVA	65880	1868	968464	3	27	623	21
P00-201912	8	2000034	127183	STUDNI»KOVA	41309	1004	814195	3	27	335	12
P00-201912	8	2000033	127183	HLAVOVA	23748	627	360238	3	27	209	7
P00-201912	8	2000032	127183	ALBERTOV	51689	1352	891505	3	27	451	16
P00-201912	8	2000031	127183	ALBERTOV	189974	5088	3661585	3	27	1696	57
P00-201912	25	2000030	127299	SEKANINOVA	19536	294	95961	3	27	98	4
P00-201912	25	2000029	127299	SEKANINOVA	35555	795	192399	3	27	265	9
P00-201912	25	2000028	127299	SEKANINOVA	16048	321	140652	3	27	107	4
P00-201912	25	2000027	127299	NUSELSK› MOST	69844	1146	381621	3	27	382	13
P00-201912	25	2000026	127299	NUSELSK› MOST	93469	1322	572128	3	27	441	15
P00-201912	37	2000025	127299	JAROMÕROVA	28449	574	201760	3	27	192	7
P00-201912	37	2000024	127299	JAROMÕROVA	34347	697	201824	3	27	233	8
P00-201912	37	2000023	127299	JAROMÕROVA	29029	458	165164	3	27	153	6
P00-201912	37	2000022	127299	JAROMÕROVA	23857	441	142078	3	27	147	5
P00-201912	37	2000021	127299	JAROMÕROVA	19726	403	125327	3	27	135	5
P00-201912	37	2000020	127299	JAROMÕROVA	14732	339	103055	3	27	113	4
P00-201912	25	2000019	127299	SEKANINOVA	150101	2115	995275	3	27	705	24
P00-201912	37	2000018	127302	V PEVNOSTI	48578	1155	775615	3	27	385	13
P00-201912	37	2000017	127299	SLAVOJOVA	55311	904	286210	3	27	302	11
P00-201912	25	2000016	127302	NEKLANOVA	99003	1150	807258	3	27	384	13
P00-201912	37	2000015	127302	VRATISLAVOVA	178159	3163	1017248	3	27	1055	36
P00-201912	37	2000014	127302	LIBUäINA	82656	1416	732605	3	27	472	16
P00-201912	25	2000013	127302	VNISLAVOVA	187212	3409	1425084	3	27	1137	38
P00-201912	37	2000012	127311	NA HROBCI	49990	845	343294	3	27	282	10
P00-201912	37	2000011	127311	VYäEHRADSK¡	60449	1196	413642	3	27	399	14
P00-201912	37	2000010	127311	PODSKALSK¡	286304	5527	1440542	3	27	1843	62
P00-201912	25	2000009	127311	TROJICK¡	215905	3455	1278357	3	27	1152	39
P00-201912	37	2000008	127311	POD SLOVANY	257431	3601	1140691	3	27	1201	41
P00-201912	37	2000007	127311	POD SLOVANY	166745	2343	691735	3	27	781	27
P00-201912	25	2000006	127311	NA MOR¡NI	113890	1974	801670	3	27	658	22
P00-201912	25	2000005	127329	TROJANOVA	104220	1956	743264	3	27	652	22
P00-201912	25	2000004	127329	DITTRICHOVA	79258	1442	718548	3	27	481	17
P00-201912	37	2000003	127329	JIR¡SKOVO N¡M.	239865	3393	1950810	3	27	1131	38
P00-201912	37	2000002	127329	MYSLÕKOVA	94415	1395	687603	3	27	465	16
P00-201912	37	2000001	127329	MYSLÕKOVA	121926	1615	841264	3	27	539	18
P00-201912	50	1000090	126993	ALäOVO N¡Bÿ.	645187	6334	1080408	3	27	2112	71
P00-201912	50	1000089	127116	DISKAÿSK¡	136606	1964	219210	3	27	655	22
P00-201912	50	1000088	127124	POHOÿELEC	454585	5086	733786	3	27	1696	57
P00-201912	50	1000087	127124	POHOÿELEC	586645	6640	1002539	3	27	2214	74
P00-201912	50	1000086	127094	MALOSTRANSK… N¡M.	122522	1538	214509	3	27	513	18
P00-201912	50	1000085	127094	MALOSTRANSK… N¡M.	477081	5351	873572	3	27	1784	60
P00-201912	50	1000084	127141	VALDäTEJNSK¡	254632	2765	438142	3	27	922	31
P00-201912	50	1000083	127141	KOS¡RKOVO N¡Bÿ.	351066	3494	1648580	3	27	1165	39
P00-201912	50	1000082	127141	VÕTÃZN¡	64642	893	107061	3	27	298	10
P00-201912	50	1000081	127078	N¡RODNÕ	513051	6685	1938649	3	27	2229	75
P00-201912	50	1000080	127078	N¡RODNÕ	461346	5397	878649	3	27	1799	60
P00-201912	50	1000079	127086	N¡RODNÕ	115909	1646	210878	3	27	549	19
P00-201912	50	1000078	126993	N¡RODNÕ	108454	1292	201520	3	27	431	15
P00-201912	50	1000077	127086	N¡RODNÕ	133615	1786	243670	3	27	596	20
P00-201912	50	1000076	126993	NA PERäT›NÃ	383033	4146	720029	3	27	1382	47
P00-201912	50	1000075	126993	PERLOV¡	227668	2865	411540	3	27	955	32
P00-201912	50	1000074	127086	SP¡LEN¡	118523	1402	217180	3	27	468	16
P00-201912	50	1000073	127086	SP¡LEN¡	128263	1773	242548	3	27	591	20
P00-201912	50	1000072	127078	PURKY“OVA	179239	2097	361321	3	27	699	24
P00-201912	50	1000071	127078	JUNGMANNOVA	519350	6545	919798	3	27	2182	73
P00-201912	50	1000070	127078	JUNGMANNOVA	53862	643	96701	3	27	215	8
P00-201912	50	1000069	127078	PALACK…HO	74188	987	134772	3	27	329	11
P00-201912	50	1000068	127078	VODI»KOVA	82010	1105	153916	3	27	369	13
P00-201912	50	1000067	127078	LAZARSK¡	100398	1263	172468	3	27	421	15
P00-201912	50	1000065	127086	MYSLÕKOVA	146022	1790	254248	3	27	597	20
P00-201912	50	1000064	127086	N¡RODNÕ	337285	3815	559172	3	27	1272	43
